"UT-04: Darlene McDonald",2018/06/26,https://darlenemcdonald.com/
"NY-21: Patrick Nelson",2018/06/26,https://www.nelsonforny.com/
"NY-19: Jeff Beals",2018/06/26,http://bealsforcongress.com/
"NY-23: Ian Golden",2018/06/26,https://www.goldenforcongress.com/
"CO-01: Saira Rao",2018/06/26,https://sairaforcongress.com/
"MD-06: Roger Manno",2018/06/26,http://rogermanno.com/
"NY-11: Michael Devito",2018/06/26,https://youngbloodforcongress.com/
"NV-04: Amy Vilela",2018/06/12,amy4thepeople.com
"CA-10: Dotty Nygard",2018/06/05,dottynygardforcongress.com
"NJ-07: Peter Jacob",2018/06/05,jacob2018.com
"MT-AL: John Heenan",2018/06/05,heenanforcongress.com
"CA-04: Roza Calderon",2018/06/05,electroza.org
"CA-49: Doug Applegate",2018/06/05,"applegateforcongress.com/ "
"IA-01: Courtney Rowe",2018/06/05,"courtneyroweforcongress.org/ "
"CA-SN-1: Alison Hartson",2018/06/05,alisonhartson.com
"NM-01: Antoinette Sedillo Lopez",2018/06/05,https://antoinetteforcongress.com/
"CA-25: Bryan Caforio",2018/06/05,http://bryancaforio.com/
"CA-48: Laura Oatman",2018/06/05,https://oatmanforcongress.com/
"IA-03: Pete D'Alessandro",2018/06/05,http://peteforiowa.com/
"NJ-02: Tanzie Youngblood",2018/06/05,https://youngbloodforcongress.com/
"PA-07: Greg Edwards",2018/05/15,https://edwardsforpa.com/
"WV-SN-1: Paula Jean Swearengin",2018/05/08,paulajean2018.com
"NC-05: Jenny Marshall",2018/05/08,http://www.marshallforhouse.org/
"IN-09: Dan Canon",2018/05/08,http://www.canonforindiana.com/
"OH-12: John Russell",2018/05/08,https://www.russellforohio.com/
"IL-07: Anthony Clark",2018/03/20,anthonyclark2018.com
"IL-13: David Gill",2018/03/20,davidgill2018.com/
"IL-05: Sameena Mustafa",2018/03/20,https://www.sameenaforcongress.com/
"IL-03: Marie Newman",2018/03/20,https://www.marienewmanforcongress.com/
"TX-02: J. Darnell Jones",2018/03/06,jdarnellforcongress.com/
"TX-23: Rick Treviño",2018/03/06,rickfor23.com
"TX-21: Derrick Crowe",2018/03/06,https://www.electcrowe.com/
"TX-07: Laura Moser",2018/03/06,https://moserforcongress.com/
"TX-21: Mary Wilson",2018/03/06,https://www.electmarywilson.com/
"AZ-08: Brianna Westbrook",2018/02/27,https://westbrook2018.com/
